City,Locality,Property_Type,RERA_Approved,BHK,Bathrooms,Balconies,Floor,Age_of_Property_years,Ready_to_Move,Furnishing,Parking,Facing,Gated_Community,Lift_Available,Water_Supply,Security_Guard,Gym,Swimming_Pool,Power_Backup,Clubhouse,Play_Area,Near_School_km,Near_Hospital_km,Near_Metro_km,Near_Market_km,Monthly_Maintenance,EMI_Per_Lakh,Interest_Rate,Resale,Property_Tax_Annual,Pollution_Index,Noise_Index,Crime_Rate,Internet_Availability,Public_Transport_Score,Flood_Zone,Earthquake_Zone,Civic_Amenities_Rating,Market_Demand_Rating,Rental_Yield_Percent,Carpet_Area_sqft,Total_Floors,Expected_Price_Lakhs
Visakhapatnam,NAD Junction,Independent House,Yes,4,5,2,19,17,Yes,Unfurnished,Yes,East,Yes,Yes,Borewell,No,No,No,Yes,Yes,No,4.05,0.8,1.44,2.55,4882,950.56,8.71,No,17164,62.0,63.7,26.8,8.1,8.0,No,No,8.0,8.5,2.43,991,26,59.64
Ahmedabad,SG Highway,Independent House,Yes,2,2,1,9,19,Yes,Semi-Furnished,Yes,East,Yes,No,Borewell,Yes,No,No,Yes,No,Yes,0.88,1.62,1.87,2.26,4657,928.94,7.86,No,11751,46.8,49.2,49.7,7.0,9.0,No,No,9.1,8.2,2.04,746,11,35.46
Jaipur,Vaishali Nagar,Villa,No,3,3,0,13,4,No,Semi-Furnished,Yes,North,No,Yes,Corporation,Yes,Yes,Yes,Yes,No,No,1.37,2.84,1.06,1.0,4038,1138.45,8.68,No,9214,87.6,57.8,16.9,9.1,7.8,No,Yes,7.4,9.1,2.6,1294,23,58.35
Patna,Bailey Road,Apartment,No,4,4,1,19,25,Yes,Furnished,Yes,South,No,No,Corporation,No,Yes,No,Yes,Yes,No,2.8,5.46,4.68,2.97,4273,780.18,9.2,Yes,18780,85.1,41.2,11.5,6.3,5.0,Yes,Yes,5.6,7.9,3.02,1094,22,48.55
Chennai,Tambaram,Independent House,No,1,2,2,7,1,No,Unfurnished,Yes,East,No,No,Both,No,No,No,Yes,No,Yes,3.52,0.24,2.92,2.75,6087,883.61,7.59,Yes,5850,87.8,58.0,46.2,9.9,7.4,No,Yes,6.3,7.7,3.72,1944,14,132.88
Mumbai,Malad,Independent House,No,1,1,1,3,19,Yes,Semi-Furnished,No,East,Yes,Yes,Corporation,No,No,Yes,Yes,No,Yes,4.05,0.7,2.13,2.3,3483,869.52,6.87,No,5702,71.0,44.8,17.9,6.1,8.7,Yes,Yes,9.1,9.6,3.7,1776,12,641.86
Surat,Vesu,Apartment,No,2,2,0,14,15,Yes,Furnished,No,East,No,No,Both,Yes,No,No,Yes,No,No,2.43,5.9,7.49,1.07,7129,1038.71,6.79,Yes,6930,41.2,65.9,19.8,8.8,5.7,No,Yes,8.7,7.3,4.38,1167,23,48.63
Mumbai,Powai,Apartment,Yes,3,4,2,2,17,Yes,Unfurnished,Yes,East,Yes,Yes,Corporation,Yes,No,No,No,Yes,No,4.27,4.13,6.0,2.85,1764,1091.09,8.69,Yes,23690,77.7,51.2,54.2,6.1,7.1,No,Yes,5.0,8.5,2.46,2187,4,1083.15
Jaipur,Mansarovar,Independent House,Yes,3,3,2,2,11,No,Unfurnished,Yes,East,Yes,No,Borewell,Yes,No,No,Yes,No,No,2.9,4.85,7.18,0.65,5741,856.13,7.84,Yes,16306,48.9,63.0,47.5,9.9,9.5,Yes,Yes,9.9,6.1,3.84,833,7,57.76
Surat,Vesu,Villa,No,4,4,1,9,10,Yes,Unfurnished,No,West,Yes,No,Corporation,No,No,No,Yes,Yes,Yes,4.68,2.15,4.39,1.37,1094,816.61,9.06,No,16310,68.5,48.3,50.6,7.8,7.5,No,Yes,5.4,6.2,4.01,1069,13,41.69
Lucknow,Gomti Nagar,Villa,Yes,2,2,1,8,13,Yes,Furnished,Yes,West,Yes,Yes,Corporation,Yes,No,No,Yes,No,Yes,3.72,1.82,6.77,2.71,2596,1119.43,6.51,Yes,1938,44.5,51.6,12.8,6.2,5.3,Yes,No,8.7,6.2,3.29,632,15,26.69
Kochi,Kakkanad,Villa,Yes,2,2,0,20,18,No,Semi-Furnished,No,South,Yes,No,Borewell,No,No,Yes,No,No,No,3.81,3.34,5.63,1.0,2141,1106.19,8.26,No,23489,52.8,71.7,35.8,8.1,9.9,Yes,Yes,6.0,9.2,2.28,579,21,26.6
Chandigarh,Sector 22,Independent House,No,1,1,0,12,0,No,Unfurnished,Yes,West,No,Yes,Borewell,Yes,No,Yes,No,No,Yes,2.32,5.72,6.77,1.66,3940,1159.78,7.24,Yes,18926,48.2,68.3,44.1,7.5,9.0,Yes,Yes,5.1,7.6,3.97,855,18,74.98
Ahmedabad,Satellite,Villa,Yes,3,3,2,18,16,No,Unfurnished,No,West,No,No,Borewell,No,Yes,No,Yes,Yes,No,2.05,4.67,4.97,0.25,2926,853.5,8.64,No,16774,63.5,58.0,59.1,7.8,5.7,Yes,No,7.8,7.0,2.6,1601,18,69.08
Indore,Vijay Nagar,Villa,Yes,3,3,0,18,16,No,Furnished,Yes,West,No,No,Borewell,Yes,Yes,Yes,No,No,No,3.16,2.39,2.6,2.35,1419,1004.69,7.05,Yes,19815,89.5,55.9,27.7,8.7,5.7,No,Yes,6.7,9.9,3.51,850,23,50.88
Jaipur,Mansarovar,Independent House,No,3,3,2,1,8,No,Furnished,No,East,No,No,Corporation,Yes,Yes,Yes,Yes,No,Yes,0.26,5.93,3.26,0.44,1559,942.97,7.69,No,24213,76.3,60.4,12.0,7.9,7.8,No,No,8.9,5.6,2.31,921,5,52.09
Patna,Ashiana Nagar,Independent House,No,1,2,0,13,6,Yes,Semi-Furnished,Yes,North,Yes,Yes,Borewell,Yes,Yes,No,Yes,Yes,Yes,0.17,4.67,2.82,0.82,4840,810.16,9.48,Yes,11088,65.6,59.8,50.1,6.3,6.5,No,Yes,6.6,7.0,2.08,807,23,51.18
Ahmedabad,Satellite,Independent House,Yes,1,1,0,4,8,Yes,Unfurnished,No,East,No,No,Corporation,Yes,No,No,Yes,Yes,Yes,4.38,4.07,5.36,0.65,5500,994.5,9.33,No,6713,55.0,84.9,34.8,7.5,9.9,Yes,Yes,9.0,6.5,3.04,1509,6,71.68
Chandigarh,Manimajra,Independent House,Yes,1,1,0,20,25,No,Furnished,No,South,Yes,No,Borewell,No,No,No,No,Yes,No,2.28,0.8,5.83,0.57,1287,874.35,6.94,No,19095,46.1,81.1,40.1,9.7,9.8,Yes,No,8.9,6.5,2.16,750,30,55.68
Delhi,Karol Bagh,Apartment,No,1,1,0,19,21,Yes,Semi-Furnished,No,North,No,No,Both,No,No,No,Yes,Yes,No,4.81,1.58,7.23,1.38,6437,708.8,8.74,No,13470,64.6,81.9,28.0,9.3,8.7,Yes,No,5.4,8.1,2.67,722,26,343.6
Ahmedabad,SG Highway,Villa,No,1,2,2,7,9,No,Unfurnished,No,South,No,No,Both,Yes,Yes,Yes,No,Yes,No,0.94,1.95,7.79,2.0,7958,707.68,6.68,Yes,13148,72.0,43.2,52.1,6.6,8.0,No,Yes,7.7,9.7,4.34,1623,7,88.37
Mumbai,Goregaon,Villa,Yes,3,3,0,19,0,No,Unfurnished,Yes,East,Yes,No,Both,No,Yes,No,Yes,Yes,No,4.34,0.41,4.17,2.57,6139,822.99,8.92,No,11036,50.2,54.8,19.9,8.0,8.1,Yes,Yes,7.2,7.8,3.59,2134,20,1095.98
Kochi,Kakkanad,Villa,Yes,4,4,2,16,6,Yes,Semi-Furnished,No,North,Yes,Yes,Both,No,No,Yes,Yes,Yes,Yes,1.3,1.7,3.66,1.7,2465,895.46,8.37,Yes,17075,43.1,59.6,22.1,9.3,5.9,Yes,Yes,5.0,6.3,2.11,918,22,55.27
Chandigarh,Sector 22,Villa,No,2,2,1,8,24,Yes,Semi-Furnished,No,South,No,Yes,Corporation,No,Yes,No,Yes,No,No,4.68,4.32,4.29,1.32,1235,925.44,8.15,No,10786,59.7,47.6,11.5,7.8,5.5,Yes,No,7.3,8.4,3.28,527,16,45.45
Patna,Kankarbagh,Independent House,Yes,3,3,2,19,14,Yes,Semi-Furnished,Yes,East,Yes,Yes,Both,No,Yes,Yes,Yes,No,No,3.86,3.9,2.72,0.31,6409,973.25,9.0,No,15631,33.7,44.6,20.5,9.0,8.0,Yes,No,9.0,9.4,2.61,798,20,28.57
Visakhapatnam,NAD Junction,Independent House,No,2,3,2,12,10,No,Unfurnished,Yes,South,No,No,Both,No,No,No,Yes,Yes,No,0.88,2.69,6.76,1.64,3629,1156.36,8.72,Yes,20587,41.0,72.3,35.7,7.7,9.0,Yes,No,9.9,9.4,3.07,508,16,37.38
Patna,Rajendra Nagar,Apartment,Yes,4,4,2,1,14,No,Furnished,No,East,Yes,No,Both,Yes,Yes,Yes,Yes,Yes,No,0.42,2.74,5.49,2.44,7134,943.04,9.31,No,7171,30.1,76.4,52.7,8.1,6.3,No,No,6.1,7.5,2.54,408,8,16.82
Chandigarh,Sector 22,Independent House,Yes,4,4,1,12,24,No,Unfurnished,Yes,East,Yes,No,Corporation,Yes,No,No,Yes,Yes,Yes,1.42,2.5,7.16,0.29,2638,983.09,8.0,Yes,9187,52.9,56.9,51.4,9.3,8.9,No,No,7.6,7.5,3.47,2020,20,164.24
Lucknow,Rajajipuram,Apartment,No,4,5,2,14,17,No,Unfurnished,Yes,West,No,No,Corporation,No,Yes,No,No,Yes,No,2.06,4.63,6.8,2.86,3175,1186.81,7.52,Yes,6863,59.3,40.5,30.1,7.1,7.0,Yes,Yes,5.5,7.1,3.09,1557,14,68.75
Visakhapatnam,NAD Junction,Apartment,No,3,3,1,8,2,No,Furnished,No,North,Yes,No,Borewell,Yes,Yes,Yes,Yes,Yes,Yes,2.11,1.87,1.1,2.94,4288,895.78,7.75,Yes,20985,45.2,50.4,43.3,7.5,6.9,Yes,Yes,8.3,9.7,2.73,2086,11,125.13
Chandigarh,Manimajra,Villa,Yes,3,4,1,8,25,No,Furnished,No,West,No,Yes,Borewell,Yes,No,No,Yes,No,No,1.76,4.64,0.61,0.84,5484,979.86,6.98,No,3316,86.6,54.3,52.3,6.7,7.9,No,Yes,5.7,5.4,3.33,1105,16,93.65
Chennai,Tambaram,Independent House,Yes,3,4,0,8,13,No,Furnished,Yes,East,No,Yes,Corporation,No,Yes,Yes,No,No,No,1.02,1.47,4.9,0.47,6377,1144.8,7.85,No,12737,45.4,46.2,30.0,6.5,9.3,No,Yes,8.5,7.5,2.83,1791,13,142.94
Chandigarh,Sector 22,Independent House,Yes,2,3,0,2,15,Yes,Unfurnished,No,South,No,Yes,Both,Yes,No,No,Yes,No,Yes,3.87,0.88,5.04,1.34,5550,817.2,8.53,No,22517,57.0,83.7,29.0,9.5,5.7,No,No,9.7,6.4,4.22,1880,8,147.76
Kochi,Panampilly Nagar,Apartment,No,1,2,2,7,15,Yes,Unfurnished,Yes,South,Yes,Yes,Corporation,Yes,Yes,Yes,Yes,No,No,4.63,3.14,4.36,0.86,3130,1095.7,8.83,Yes,19358,78.4,57.5,21.8,7.4,6.7,Yes,Yes,8.2,9.7,3.62,795,12,33.5
Jaipur,Mansarovar,Villa,Yes,3,3,1,3,9,No,Furnished,No,North,Yes,Yes,Both,Yes,No,Yes,Yes,No,No,1.85,4.37,4.21,1.51,6387,789.12,7.8,Yes,6696,51.1,75.5,24.0,9.1,6.1,No,No,7.4,9.1,3.74,415,6,24.03
Chennai,Tambaram,Apartment,No,2,3,2,17,2,No,Unfurnished,Yes,South,No,Yes,Borewell,Yes,No,Yes,No,No,No,0.39,1.11,7.1,0.85,6211,718.96,8.94,No,5441,31.9,83.8,35.6,8.5,5.3,Yes,Yes,9.6,9.6,3.43,1922,22,188.54
Ahmedabad,SG Highway,Independent House,No,4,4,2,6,22,No,Unfurnished,No,East,No,Yes,Borewell,Yes,No,Yes,No,Yes,Yes,3.14,0.75,3.78,0.63,3321,1106.5,7.83,No,22612,70.5,51.4,57.9,8.9,6.4,No,Yes,5.5,9.9,2.22,1160,7,77.7
Kolkata,Dum Dum,Apartment,No,3,3,2,6,3,Yes,Furnished,Yes,East,No,No,Corporation,Yes,Yes,Yes,No,No,Yes,2.73,3.34,5.93,1.19,3279,1161.37,8.66,No,19123,81.1,42.1,45.8,7.2,9.7,No,No,9.9,5.7,4.16,661,13,38.27
Bengaluru,Whitefield,Independent House,No,3,3,0,4,1,No,Unfurnished,No,North,Yes,Yes,Corporation,No,No,No,No,Yes,No,1.28,2.33,5.8,0.27,5972,957.5,8.37,Yes,9251,41.3,78.7,29.1,6.6,6.7,Yes,Yes,8.1,5.0,2.36,1356,6,148.64
Chandigarh,Sector 22,Villa,Yes,1,1,1,15,20,Yes,Furnished,Yes,South,Yes,Yes,Corporation,Yes,No,Yes,No,No,Yes,0.24,0.53,5.02,2.83,7658,1183.02,7.59,No,5835,47.2,41.2,39.5,8.0,8.2,Yes,No,7.1,9.3,4.31,1859,25,182.1
Chandigarh,Manimajra,Independent House,No,4,4,0,4,7,Yes,Furnished,No,West,Yes,No,Corporation,No,Yes,No,No,No,No,2.97,1.46,3.83,0.87,5988,802.24,7.58,Yes,1530,73.6,70.5,29.6,10.0,7.3,No,Yes,7.2,7.8,3.48,931,8,75.21
Mumbai,Borivali,Villa,No,1,2,2,10,23,No,Semi-Furnished,No,West,Yes,No,Both,No,No,Yes,Yes,Yes,No,4.26,2.59,6.63,0.93,3260,1028.28,7.25,Yes,16097,68.5,68.3,39.9,8.8,7.8,Yes,Yes,7.7,6.6,3.85,1497,10,727.88
Bengaluru,Whitefield,Apartment,No,2,3,2,3,3,Yes,Unfurnished,Yes,North,No,No,Borewell,Yes,Yes,Yes,Yes,Yes,Yes,2.61,5.27,5.32,2.91,4902,1139.45,7.61,Yes,15866,78.7,42.2,35.0,7.7,5.5,No,Yes,8.8,9.0,3.0,741,3,77.34
Patna,Boring Road,Apartment,No,4,4,0,8,3,No,Semi-Furnished,Yes,North,Yes,Yes,Both,No,No,No,No,No,No,3.18,2.62,4.18,2.5,3823,780.96,6.7,No,12296,50.7,68.3,22.3,8.1,6.0,Yes,No,8.3,9.1,3.88,1946,16,97.74
Kolkata,Dum Dum,Apartment,Yes,3,4,1,5,18,No,Semi-Furnished,Yes,West,No,No,Borewell,Yes,No,Yes,Yes,No,No,4.41,1.15,6.36,1.34,1543,851.48,7.69,Yes,22196,63.1,60.0,50.5,7.6,6.2,No,No,9.8,8.7,3.31,1415,8,123.5
Kochi,Edappally,Apartment,No,4,4,1,18,22,Yes,Semi-Furnished,No,East,No,Yes,Borewell,Yes,Yes,Yes,Yes,Yes,No,0.77,1.59,4.27,0.35,1576,920.05,9.16,Yes,21196,37.5,81.9,54.3,6.6,5.6,No,No,9.1,5.0,4.16,772,28,38.13
Bengaluru,Indiranagar,Independent House,No,4,5,0,13,11,Yes,Semi-Furnished,No,West,No,Yes,Corporation,Yes,Yes,No,No,No,No,1.0,2.3,5.58,1.37,2476,1197.75,8.11,Yes,6106,45.4,64.5,14.0,7.4,5.3,No,Yes,8.6,8.1,2.03,586,18,52.77
Kolkata,Behala,Apartment,No,3,3,0,12,15,No,Furnished,No,North,No,No,Both,No,Yes,Yes,Yes,No,Yes,4.95,3.12,6.75,1.79,3978,1164.5,8.94,Yes,6757,50.2,46.4,11.2,9.2,7.4,Yes,Yes,8.0,5.8,3.35,1110,14,78.73
Mumbai,Goregaon,Independent House,No,2,3,1,18,2,No,Unfurnished,Yes,South,Yes,Yes,Corporation,Yes,Yes,Yes,Yes,No,Yes,1.03,1.32,4.16,2.97,2716,740.73,9.31,No,4536,71.8,68.6,37.0,7.0,7.9,No,No,9.3,6.3,2.66,1870,26,634.86
Pune,Viman Nagar,Independent House,No,3,3,1,8,13,No,Semi-Furnished,Yes,South,Yes,Yes,Both,No,Yes,No,No,Yes,No,3.39,1.93,4.17,1.83,6094,1167.47,8.55,Yes,16470,36.9,42.3,12.7,6.0,8.1,No,No,5.9,8.9,3.11,1300,8,121.49
Hyderabad,Begumpet,Apartment,No,2,3,2,18,14,Yes,Unfurnished,No,South,No,No,Both,No,No,Yes,Yes,No,No,0.37,5.62,4.19,1.41,2727,1178.71,6.62,Yes,21055,54.0,45.2,28.9,7.6,8.3,No,Yes,9.5,9.9,4.2,1655,25,185.82
Jaipur,Malviya Nagar,Apartment,No,1,2,0,7,9,Yes,Unfurnished,No,West,Yes,No,Corporation,No,No,Yes,Yes,No,Yes,4.73,3.78,6.98,1.41,3463,1177.61,8.75,No,5805,39.5,47.2,36.8,8.5,7.3,Yes,Yes,5.2,9.3,4.26,1641,17,106.71
Delhi,South Extension,Independent House,Yes,4,5,2,10,10,Yes,Unfurnished,No,North,No,Yes,Corporation,Yes,Yes,No,Yes,Yes,No,2.45,4.91,7.91,0.47,3478,886.3,9.38,Yes,4473,88.7,43.6,47.6,6.5,7.3,No,No,8.8,9.1,2.58,1015,17,381.37
Chennai,T. Nagar,Independent House,No,3,4,1,11,18,No,Unfurnished,No,North,No,Yes,Corporation,Yes,No,No,No,No,No,3.75,2.21,1.4,2.64,3881,895.3,7.54,Yes,19528,88.7,84.0,48.9,6.2,10.0,No,Yes,8.0,8.8,3.8,584,17,53.3
Delhi,Dwarka,Independent House,No,1,2,0,8,13,Yes,Furnished,Yes,North,Yes,No,Both,No,No,Yes,No,Yes,No,2.41,1.1,1.56,0.71,5836,791.99,7.2,Yes,23715,41.8,43.1,30.0,8.4,9.7,Yes,Yes,9.2,10.0,2.73,1535,15,197.2
Kochi,Panampilly Nagar,Villa,Yes,2,2,1,17,7,No,Unfurnished,No,East,Yes,No,Both,No,No,No,Yes,No,No,1.25,1.29,7.68,1.28,2422,794.85,7.65,No,16075,52.5,71.5,14.2,6.0,9.4,No,No,8.5,7.0,4.35,1590,20,91.56
Patna,Kankarbagh,Apartment,No,4,4,0,4,19,Yes,Unfurnished,No,South,No,Yes,Both,Yes,Yes,Yes,No,No,Yes,4.17,3.77,7.46,1.46,1959,926.35,6.73,No,4573,74.3,66.4,10.7,6.3,7.4,No,Yes,5.0,7.2,3.95,1205,14,68.62
Chandigarh,Sector 22,Apartment,No,4,4,1,3,2,Yes,Unfurnished,No,North,Yes,Yes,Corporation,No,Yes,No,No,Yes,No,3.17,3.37,5.29,2.62,1262,818.17,6.79,No,19388,33.4,67.5,11.3,8.7,7.7,No,No,5.0,6.3,3.78,1067,8,102.27
Jaipur,C-Scheme,Villa,No,2,2,0,17,2,No,Unfurnished,No,East,No,Yes,Corporation,Yes,No,Yes,Yes,No,No,1.37,2.27,7.97,0.34,4460,774.34,7.01,Yes,8451,83.4,51.9,54.3,6.9,9.8,Yes,No,9.4,9.1,3.38,648,20,27.14
Kolkata,Dum Dum,Independent House,Yes,1,2,0,18,14,Yes,Furnished,No,North,No,Yes,Corporation,No,Yes,Yes,No,No,No,3.98,3.16,5.92,0.6,3234,1133.58,9.12,No,1453,57.4,56.9,43.9,7.2,7.7,Yes,Yes,9.6,7.7,3.23,1392,18,103.01
Patna,Bihta,Independent House,Yes,1,1,2,7,24,No,Semi-Furnished,Yes,West,Yes,Yes,Borewell,No,Yes,Yes,No,Yes,No,0.94,3.54,5.86,2.11,7820,1025.09,7.23,No,5964,54.4,69.9,34.9,8.4,9.9,Yes,Yes,9.0,9.6,4.07,1253,14,61.71
Chennai,T. Nagar,Apartment,No,2,3,2,1,23,Yes,Semi-Furnished,Yes,West,Yes,Yes,Corporation,Yes,Yes,No,Yes,Yes,No,0.58,2.46,0.94,1.79,2687,959.74,8.07,Yes,2078,69.0,51.0,25.1,8.7,5.1,Yes,No,8.5,9.7,3.46,2158,3,186.19
Delhi,Lajpat Nagar,Villa,No,4,4,1,11,21,Yes,Furnished,Yes,South,Yes,No,Both,No,Yes,No,No,No,No,3.37,1.41,3.76,1.53,7144,1089.19,6.86,Yes,5688,79.4,51.5,54.9,6.8,6.7,Yes,No,5.9,6.7,4.02,871,18,326.18
Surat,Katargam,Apartment,Yes,2,2,1,8,12,Yes,Furnished,Yes,East,No,No,Both,No,Yes,No,No,Yes,Yes,3.19,3.89,1.66,0.27,5480,764.46,6.72,No,14945,72.7,49.2,46.4,9.6,7.8,Yes,Yes,9.6,7.4,3.3,741,8,37.3
Lucknow,Hazratganj,Villa,Yes,4,5,1,19,18,No,Furnished,No,East,Yes,No,Borewell,No,Yes,No,Yes,Yes,No,4.07,5.92,7.14,1.59,1090,1021.88,9.49,No,20115,30.1,67.6,16.5,6.9,9.0,No,Yes,9.3,7.5,3.86,1839,21,98.64
Delhi,Rohini,Villa,No,4,5,0,10,8,No,Furnished,No,East,Yes,Yes,Borewell,Yes,Yes,Yes,Yes,Yes,No,3.57,0.92,4.33,2.73,4898,808.14,7.69,Yes,15815,74.6,74.6,49.1,6.2,8.3,No,No,9.7,9.6,4.33,2133,18,882.92
